文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	開始ページ	終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1960/01/10										WPRO1960front.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960				1960/01/10	5	5
Symposium	中表紙	Ja		1960/01/10										WPRO1960title.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960				1960/01/10	9	9
Symposium	電子計算機プログラミング 第1回シンポジウム報告集刊行について	Ja		1960/01/10					山内,二郎					WPRO1960preface1.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960				1960/01/10	11	12
Symposium	編集に際して	Ja		1960/01/10					浦,昭二;;戸田,英雄;;有山,正孝;;高須,達;;清水,留三郎					WPRO1960preface2.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960				1960/01/10	13	13
Symposium	目次	Ja		1960/01/10										WPRO1960program.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960				1960/01/10	15	16
Symposium	A. サブルーチン	Ja		1960/01/10										WPRO1960A00.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960				1960/01/10	17	17
Symposium	大型計算機用関数近似についての一つの試み	Ja		1960/01/10			慶大工		山内,二郎					WPRO1960A01.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		1	27	1960/01/10	19	45
Symposium	山内の報告に対する討論	Ja		1960/01/10			統数研		渋谷,政昭					WPRO1960A02.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		28	29	1960/01/10	46	47
Symposium	関数の関数をn回微分するためのサブルーチンとエルミット多項式H<sub>k</sub>(<i>x</i>)のサブルーチン	Ja		1960/01/10			電試;;慶大工		戸田,英雄;;山内,二郎					WPRO1960A03.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		30	44	1960/01/10	48	62
Symposium	エラトステネスのふるいによる素数の計算について	Ja		1960/01/10			通研		新井,克彦					WPRO1960A04.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		45	50	1960/01/10	63	68
Symposium	ブロック・ダイヤグラム・シミュレータ	Ja		1960/01/10			早大電子計算室		田村,康男					WPRO1960A05.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		51	62	1960/01/10	69	80
Symposium	Session Aの討論	Ja		1960/01/10										WPRO1960A06.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		63	65	1960/01/10	81	83
Symposium	B. 線型計算	Ja		1960/01/10										WPRO1960B00.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960				1960/01/10	85	85
Symposium	行列の固有値	Ja		1960/01/10			東大理		島内,武彦					WPRO1960B01.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		67	78	1960/01/10	87	98
Symposium	島内に対する討論	Ja		1960/01/10			東大工		松谷,泰行					WPRO1960B02.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		79	88	1960/01/10	99	108
Symposium	行列計算の自動プログラミング	Ja		1960/01/10			東大理		島内,武彦					WPRO1960B03.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		89	92	1960/01/10	109	113
Symposium	線型計算(連立一次方程式, L.P.)	Ja		1960/01/10			鉄研		鈴木,誠道					WPRO1960B04.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		93	116	1960/01/10	114	137
Symposium	Session Bの討論	Ja		1960/01/10										WPRO1960B05.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		117	119	1960/01/10	138	140
Symposium	C. 高精度計算	Ja		1960/01/10										WPRO1960C00.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960				1960/01/10	142	142
Symposium	一二の慣用計算におけるNumerical Instabilityについて	Ja		1960/01/10			日大理工		宇野,利雄					WPRO1960C01.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		121	131	1960/01/10	144	154
Symposium	行列式その他のexact calculationに対する新方法	Ja		1960/01/10			東大理;;東大理		高橋,秀俊;;石橋,善弘					WPRO1960C02.pdf	1960/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第1回プログラミング–シンポジウム報告集	1960		132	150	1960/01/10	155	174
