文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1961/01/08										WPRO1961afront.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961				1961/01/08	1	1
Symposium	中表紙	Ja		1961/01/08										WPRO1961atitle.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961				1961/01/08	5	5
Symposium	目次	Ja		1961/01/08										WPRO1961atoc.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961				1961/01/08	7	7
Symposium	A2への補足	Ja		1961/01/08			東北大学河内分校		高橋,理					WPRO1961aA02.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961		A-15	A-25	1961/01/08	9	19
Symposium	B4.最近のProblem Oriented Languageについて	Ja		1961/01/08			日本IBM		今村,茂雄					WPRO1961aB04.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961		B-69	B-89	1961/01/08	21	41
Symposium	B2への補足	Ja		1961/01/08			三菱電機		菅,忠義;;関本,彰次;;魚田,勝臣					WPRO1961aB02.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961		B-90	B-94	1961/01/08	42	46
Symposium	C4.log10 xの有理函数近似	Ja		1961/01/08			日大理工学部		永坂,秀子					WPRO1961aC04.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961		C-53	C-58	1961/01/08	47	52
Symposium	C1.函数近似の基本理論に訂正ならびに追加	Ja		1961/01/08			日大理工学部		宇野,利雄					WPRO1961aC01.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961		C-59	C-60	1961/01/08	53	54
Symposium	D2.事務計算における標準問題について	Ja		1961/01/08			八幡製鉄		松谷,泰行					WPRO1961aD02.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961		D-29	D-31	1961/01/08	55	57
Symposium	裏表紙	Ja		1961/01/08										WPRO1961aback.pdf	1961/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第2回プログラミング–シンポジウム報告集補遺	1961				1961/01/08	60	60
