文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了	備考
Symposium	表紙	Ja		1966/01										WPRO1966front.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	1	1	
Symposium	中表紙	Ja		1966/01										WPRO1966title.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	3	3	
Symposium	電子計算機プログラミング 第7回シンポジウム報告集刊行について	Ja		1966/01					山内,二郎					WPRO1966preface1.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	5	5	
Symposium	編集にあたって	Ja		1966/01					浦,昭二;;有山,正孝;;戸田,英雄;;清水,留三郎;;米田,信夫;;藤野,喜一;;永坂,秀子					WPRO1966preface2.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	7	7	
Symposium	目次	Ja		1966/01										WPRO1966toc.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	9	10	
Symposium	A	Ja		1966/01										WPRO1966A00.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	11	11	
Symposium	泡箱写真の自動解析	Ja		1966/01			東京大学理学部物理学教室		後藤,英一					WPRO1966A01.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		A-1	A-3	1966/01	13	15	
Symposium	仮名文字パタン認識の一考察	Ja		1966/01			東北大学電気通信研究所;;東北大学電気通信研究所		富田,真吾;;大泉,充郎					WPRO1966A02.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		A-4	A-9	1966/01	16	21	
Symposium	計量経済学的モデルの推定と利用における方法と問題点	Ja		1966/01			慶応義塾大学管理工学科;;経済企画庁総合計画課		森,敬;;栗林,世					WPRO1966A03.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		A-11	A-26	1966/01	23	38	
Symposium	日本語の語順と逆ポーランド記法	Ja		1966/01			東京女子大		水谷,静夫					WPRO1966A04.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		A-27	A-38	1966/01	39	50	
Symposium	k th-order finite automatonについて	Ja		1966/01			日本大学理工学部数学教室		中村,昭					WPRO1966A05.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		A-39	A-46	1966/01	51	58	
Symposium	新しいプログラミング言語: PL/I (その出現までの経過，すぐれた特色，既存の言語との比較)	Ja		1966/01			日本アイ・ビー・エム株式会社		竹下,享					WPRO1966A06.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		A-47	A-69	1966/01	59	81	
Symposium	外務省における情報検索システム	Ja		1966/01			外務省電子計算機室 		鈴木,幸雄					WPRO1966A07.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		A-70	A-76	1966/01	82	88	
Symposium	B	Ja		1966/01										WPRO1966B00.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	89	89	
Symposium	最短時間制御問題を解くための繰り返し算法	Ja		1966/01			日本電気株式会社中央研究所		三上,徹					WPRO1966B01.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		B-1	B-10	1966/01	91	100	
Symposium	線型プロセスの最短時間サンプル値制御	Ja		1966/01			九州大学工学部		高田,勝					WPRO1966B02.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		B-11	B-28	1966/01	101	118	
Symposium	晶析工程シミュレータ	Ja		1966/01			味の素株式会社中央研究所開発研究部第10研究室;;味の素株式会社中央研究所開発研究部第10研究室;;味の素株式会社中央研究所開発研究部第10研究室;;味の素株式会社中央研究所開発研究部第10研究室;;味の素株式会社中央研究所開発研究部第10研究室		富田,潔;;小幡,孝一郎;;河合,健司;;森,幸則;;西村,俊昭					WPRO1966B03.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		B-29	B-38	1966/01	119	128	
Symposium	多工程より構成される装置の最適Capacityの計算について	Ja		1966/01			千代田化工研究所 		東山,尙					WPRO1966B04.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		B-39	B-50	1966/01	129	140	
Symposium	日本の大学における計算機教育について	Ja		1966/01			立教大理		一松,信					WPRO1966B05.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		B-51	B-55	1966/01	141	145	
Symposium	計算機科学の教科課程 (学部学生用) ―予備的な勧告― ACM計算機科学教科課程委員会報告	Ja		1966/01			東大		森口,繁一					WPRO1966B06.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		B-56		1966/01	146	167	ACMの翻訳らしき文献だが詳細不明
Symposium	C	Ja		1966/01										WPRO1966C00.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966				1966/01	169	169	
Symposium	木表現とリスト処理の算法	Ja		1966/01			電気試験所		西村,恕彦					WPRO1966C01.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		C-1	C-28	1966/01	171	198	
Symposium	シンタックス・チェッカーとストレッジ・アロケータにおけるリスト・プロセッシング	Ja		1966/01			日本原子力研究所;;日本原子力研究所		浅井,清;;根田,美佐子					WPRO1966C02.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		C-29	C-43	1966/01	199	213	
Symposium	リスト・プロセッサーELIS	Ja		1966/01			通研		池野,信一					WPRO1966C03.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		C-44	C-49	1966/01	214	219	
Symposium	オペレイティング・システムとしてのコンパイラの設計	Ja		1966/01			原研;;原研;;原研;;原研		磯田,和男;;稲見,泰生;;斉藤,直之;;中村,康弘					WPRO1966C04.pdf	1966/01	0	IPSJ:学会員,0|DLIB:会員,0			第7回プログラミング—シンポジウム報告集	1966		C-50	C-52	1966/01	220	222	
