文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1967/01/11										WPRO1967front.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967				1967/01/11	1	1
Symposium	中表紙	Ja		1967/01/11										WPRO1967title.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967				1967/01/11	3	3
Symposium	電子計算機プログラミング 第8回シンポジウム報告集刊行について	Ja		1967/01/11					山内,二郎					WPRO1967preface1.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967				1967/01/11	5	5
Symposium	編集にあたって	Ja		1967/01/11					浦,昭二;;有山,正孝;;戸田,英雄;;藤野,喜一;;米田,信夫;;吉沢,正;;永坂,秀子					WPRO1967preface2.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967				1967/01/11	7	7
Symposium	目次	Ja		1967/01/11										WPRO1967toc.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967				1967/01/11	9	10
Symposium	A	Ja		1967/01/11										WPRO1967A00.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967				1967/01/11	11	11
Symposium	論理数学	Ja		1967/01/11			東京教育大学理学部応用数理教室;;東京教育大学理学部応用数理教室		西村,敏男;;広瀬,健					WPRO1967A11.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		A-1	A-13 	1967/01/11	13	25
Symposium	COBOLのファイル	Ja		1967/01/11			電気試験所		西村,恕彦					WPRO1967A31.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		A-15	A-24	1967/01/11	27	36
Symposium	PL/IおよびALGŌL Xにおける構造データ	Ja		1967/01/11			学習院大学		米田,信夫					WPRO1967A32.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		A-25	A-35	1967/01/11	37	47
Symposium	I.D.S.試論	Ja		1967/01/11			三菱原子力		上村,義明					WPRO1967A33.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		A-36	A-36	1967/01/11	48	48
Symposium	データ伝送と電子計算機システム	Ja		1967/01/11			東北大学;;東北大学		大泉,充郎;;高橋,理					WPRO1967A41.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		A-37	A-41	1967/01/11	49	53
Symposium	B	Ja		1967/01/11										WPRO1967B00.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967				1967/01/11	55	55
Symposium	微分方程式の数値解法の安定性	Ja		1967/01/11			理大		清水,辰次郎					WPRO1967B11.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		B-1	B-6	1967/01/11	57	62
Symposium	幻影数値解	Ja		1967/01/11			日大理工;;日大理工		宇野,利雄;;永坂,秀子					WPRO1967B12.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		B-7	B-11	1967/01/11	63	67
Symposium	常微分方程式の数値例	Ja		1967/01/11			横浜国大工学部		神沼,靖子					WPRO1967B13.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		B-12	B-14	1967/01/11	68	70
Symposium	dy/dx = -kxyに対する平滑子の適用について	Ja		1967/01/11			東京理科大学;;東京理科大学		林,健児;;東,晨児					WPRO1967B14.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		B-15	B-19	1967/01/11	71	75
Symposium	Van der Polの式の数値積分	Ja		1967/01/11			九州大学工学部		高田,勝					WPRO1967B15.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		B-20	B-27	1967/01/11	76	83
Symposium	常微分方程式の数値解法における難問対策へのある試み	Ja		1967/01/11			東京大学工学部;;東京大学工学部;;東京大学工学部		森口,繁一;;伊理,正夫;;小林,光夫					WPRO1967B16.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		B-28	B-39	1967/01/11	84	95
Symposium	大学における計算機教育 (試験研究:大学における数学教育，計算機班報告)	Ja		1967/01/11			東京教育大学		西村,敏男					WPRO1967B21.pdf	1967/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第8回プログラミング—シンポジウム報告集	1967		B-41	B-47	1967/01/11	97	103
